"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 0","255, 255, 0","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","251, 188, 4","251, 188, 4","251, 188, 4","251, 188, 4","251, 188, 4","255, 255, 0","56, 118, 29","251, 188, 4","0, 0, 0"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","251, 188, 4","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","251, 188, 4","0, 0, 0"
"255, 255, 255","255, 255, 255","0, 0, 0","251, 188, 4","255, 255, 0","255, 255, 0","255, 255, 0","254, 254, 254","254, 254, 254","255, 255, 0","255, 255, 0","255, 255, 0","251, 188, 4","251, 188, 4","0, 0, 0"
"255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","254, 254, 254","254, 254, 254","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","251, 188, 4","0, 0, 0"
"255, 255, 255","0, 0, 0","251, 188, 4","255, 255, 0","255, 255, 0","254, 254, 254","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","251, 188, 4","0, 0, 0"
"255, 255, 255","0, 0, 0","251, 188, 4","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","251, 188, 4","0, 0, 0"
"255, 255, 255","0, 0, 0","251, 188, 4","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","251, 188, 4","251, 188, 4","0, 0, 0"
"255, 255, 255","0, 0, 0","251, 188, 4","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","251, 188, 4","251, 188, 4","0, 0, 0"
"0, 0, 0","251, 188, 4","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","251, 188, 4","251, 188, 4","0, 0, 0","255, 255, 255"
"0, 0, 0","251, 188, 4","255, 255, 0","251, 188, 4","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","251, 188, 4","251, 188, 4","251, 188, 4","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","251, 188, 4","251, 188, 4","251, 188, 4","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","251, 188, 4","251, 188, 4","251, 188, 4","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","251, 188, 4","251, 188, 4","251, 188, 4","251, 188, 4","251, 188, 4","251, 188, 4","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
