"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 0, 0","204, 0, 0","254, 254, 254","204, 0, 0","204, 0, 0","153, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","254, 254, 254","204, 0, 0","153, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","255, 0, 0","204, 0, 0","254, 254, 254","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","153, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","255, 0, 0","254, 254, 254","204, 0, 0","204, 0, 0","204, 0, 0","254, 254, 254","204, 0, 0","204, 0, 0","254, 254, 254","204, 0, 0","153, 0, 0","153, 0, 0","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","255, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","153, 0, 0","0, 0, 0","255, 255, 255"
"0, 0, 0","255, 0, 0","254, 254, 254","204, 0, 0","204, 0, 0","204, 0, 0","254, 254, 254","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","254, 254, 254","204, 0, 0","204, 0, 0","153, 0, 0","0, 0, 0"
"0, 0, 0","255, 0, 0","255, 0, 0","204, 0, 0","254, 254, 254","204, 0, 0","204, 0, 0","204, 0, 0","204, 0, 0","254, 254, 254","204, 0, 0","204, 0, 0","204, 0, 0","153, 0, 0","153, 0, 0","0, 0, 0"
"0, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","0, 0, 0"
"255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","1, 1, 1","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","1, 1, 1","255, 0, 0","204, 0, 0","254, 254, 254","153, 0, 0","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","1, 1, 1","254, 254, 254","254, 254, 254","1, 1, 1","254, 254, 254","204, 0, 0","204, 0, 0","153, 0, 0","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","204, 0, 0","153, 0, 0","1, 1, 1","254, 254, 254","254, 254, 254","1, 1, 1","204, 0, 0","204, 0, 0","204, 0, 0","254, 254, 254","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","102, 0, 0","102, 0, 0","254, 254, 254","0, 0, 0","254, 254, 254","254, 254, 254","1, 1, 1","102, 0, 0","102, 0, 0","102, 0, 0","102, 0, 0","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255"
