"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","109, 158, 235","109, 158, 235","109, 158, 235","109, 158, 235","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","109, 158, 235","109, 158, 235","109, 158, 235","109, 158, 235","109, 158, 235","109, 158, 235","109, 158, 235","109, 158, 235","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","109, 158, 235","109, 158, 235","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","109, 158, 235","109, 158, 235","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","109, 158, 235","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","109, 158, 235","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","109, 158, 235","109, 158, 235","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","109, 158, 235","109, 158, 235","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","109, 158, 235","201, 218, 248","201, 218, 248","254, 254, 254","1,1,1","201, 218, 248","201, 218, 248","254, 254, 254","1,1,1","201, 218, 248","201, 218, 248","109, 158, 235","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","109, 158, 235","201, 218, 248","201, 218, 248","1,1,1","1,1,1","201, 218, 248","201, 218, 248","1,1,1","1,1,1","201, 218, 248","201, 218, 248","109, 158, 235","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","109, 158, 235","201, 218, 248","201, 218, 248","201, 218, 248","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","201, 218, 248","201, 218, 248","201, 218, 248","109, 158, 235","0, 0, 0","255, 255, 255"
"0, 0, 0","109, 158, 235","109, 158, 235","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","255, 153, 0","255, 153, 0","201, 218, 248","201, 218, 248","201, 218, 248","201, 218, 248","109, 158, 235","109, 158, 235","0, 0, 0"
"0, 0, 0","109, 158, 235","109, 158, 235","201, 218, 248","201, 218, 248","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","201, 218, 248","201, 218, 248","109, 158, 235","109, 158, 235","0, 0, 0"
"0, 0, 0","109, 158, 235","1,1,1","201, 218, 248","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","201, 218, 248","1,1,1","109, 158, 235","0, 0, 0"
"255, 255, 255","0, 0, 0","1,1,1","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","1,1,1","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
