"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243"
"207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117"
"207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117"
"207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","207, 226, 243","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117"
