"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0"
"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0"
"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0"
"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0"
"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0"
"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0"
"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0"
"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0"
"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","17, 85, 204","17, 85, 204","17, 85, 204","17, 85, 204","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255"
"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","17, 85, 204","17, 85, 204","17, 85, 204","17, 85, 204","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255"
"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","17, 85, 204","17, 85, 204","17, 85, 204","17, 85, 204","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255"
"0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","17, 85, 204","17, 85, 204","17, 85, 204","17, 85, 204","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","17, 85, 204","17, 85, 204","17, 85, 204","17, 85, 204","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","17, 85, 204","17, 85, 204","17, 85, 204","17, 85, 204","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","17, 85, 204","17, 85, 204","17, 85, 204","17, 85, 204","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0"
