"116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71"
"116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71"
"116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71"
"116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71"
"116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71"
"116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71"
"116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","0, 0, 255","255, 0, 255","116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71"
"116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","0, 0, 255","0, 0, 255","255, 0, 255","255, 0, 255","116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71"
"116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","0, 0, 255","0, 0, 255","0, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71"
"116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","116, 27, 71","116, 27, 71","116, 27, 71","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71"
