"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","254, 254, 254","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","254, 254, 254","254, 254, 254","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 0","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255"
"0, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","60, 120, 216","0, 0, 0","0, 0, 0"
"0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","60, 120, 216","60, 120, 216","0, 0, 0"
"0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","60, 120, 216","60, 120, 216","0, 0, 0"
"0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","60, 120, 216","60, 120, 216","0, 0, 0"
"0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","60, 120, 216","60, 120, 216","60, 120, 216","0, 0, 0"
