"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 153, 0","255, 255, 255","255, 255, 255","255, 255, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 153, 0","255, 153, 0","255, 153, 0","255, 255, 255","255, 255, 255","255, 255, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","153, 0, 255","153, 0, 255","153, 0, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 255, 255","255, 255, 255","255, 255, 255","153, 0, 255","153, 0, 255","153, 0, 255","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","153, 0, 255","153, 0, 255","153, 0, 255","255, 255, 255","255, 255, 255","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 255, 255","255, 255, 255","153, 0, 255","153, 0, 255","153, 0, 255","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255"
"255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","153, 0, 255","153, 0, 255","153, 0, 255","255, 255, 255","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 255, 255","153, 0, 255","153, 0, 255","153, 0, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255"
"116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","153, 0, 255","153, 0, 255","153, 0, 255","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","153, 0, 255","153, 0, 255","153, 0, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71"
"255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","153, 0, 255","153, 0, 255","153, 0, 255","255, 255, 255","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 255, 255","153, 0, 255","153, 0, 255","153, 0, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255"
"255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","153, 0, 255","153, 0, 255","153, 0, 255","255, 255, 255","255, 255, 255","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 255, 255","255, 255, 255","153, 0, 255","153, 0, 255","153, 0, 255","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","153, 0, 255","153, 0, 255","153, 0, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 255, 255","255, 255, 255","255, 255, 255","153, 0, 255","153, 0, 255","153, 0, 255","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 153, 0","255, 153, 0","255, 153, 0","255, 255, 255","255, 255, 255","255, 255, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 153, 0","255, 255, 255","255, 255, 255","255, 255, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
