"0, 0, 0","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232"
"0, 0, 0","0, 0, 0","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232"
"0, 0, 0","0, 0, 0","0, 0, 0","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232"
"0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232"
"0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232"
"0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232"
"0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232","74, 134, 232"
"0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0"
"0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0"
"0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0"
