"0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","255, 255, 0","255, 255, 0","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","255, 255, 0","255, 255, 0","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255"
"0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","164, 194, 244","255, 255, 0","255, 255, 0","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","255, 255, 0","255, 255, 0","164, 194, 244","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255"
"0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","164, 194, 244","164, 194, 244","255, 255, 0","255, 255, 0","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","255, 255, 0","255, 255, 0","164, 194, 244","164, 194, 244","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255"
"0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","164, 194, 244","164, 194, 244","164, 194, 244","255, 255, 0","255, 255, 0","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","255, 255, 0","255, 255, 0","164, 194, 244","164, 194, 244","164, 194, 244","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255"
"0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","255, 255, 0","255, 255, 0","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","255, 255, 0","255, 255, 0","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255"
"0, 0, 255","0, 0, 255","0, 0, 255","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","255, 255, 0","255, 255, 0","255, 255, 0","106, 168, 79","106, 168, 79","106, 168, 79","106, 168, 79","255, 255, 0","255, 255, 0","255, 255, 0","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","0, 0, 255","0, 0, 255","0, 0, 255"
"0, 0, 255","0, 0, 255","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","106, 168, 79","106, 168, 79","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","0, 0, 255","0, 0, 255"
"0, 0, 255","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","0, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 0","255, 255, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","116, 27, 71","116, 27, 71","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0"
